CHANNEL_ID,CHANNEL_TITLE,CHANNEL_VIEWS,COUNTRY,RELEVANCE,SUBS,CHANNEL_LIFETIME_DAILY_VIEWS,CHANNEL_LIFETIME_DAILY_VIEWS_RELEVANT,CHANNEL_VIDEO_VIEWS,RELEVANT_IMPRESSIONS_DAILY,RELEVANT_IMPRESSIONS_IN_DAILY,VIDEO_VIEWS_DAILY,RELEVANT_VIDEO_VIEWS_DAILY,AVG_MINUTES,FROM_DATE,TO_DATE,LR,TAGS,IDEOLOGY,MEDIA,LOGO_URL
UCVD6kK-I5NodC1s-JMeuYPw,Guardian Live,24340390,,1,56500,8873.383857,8873.383857,24295325,2262.638215243,16257.805484229,8169.187027027,8169.187027027,35.601852,2014-10-15T00:00:00.0000000Z,2022-04-14T00:00:00.0000000Z,L,"[
  ""Mainstream News""
]",Center/Left MSM,Mainstream Media,https://yt3.ggpht.com/ytc/AKedOLQRwyNIf5UeVgBl-1lJNNH_z7yN3UbdjrKQWVOGmA=s88-c-k-c0x00ffffff-no-rj
UCgaZ4TeWJ4p8LPM5_3bTy8w,Amazing Word Ministries,8857982,,0.8,46100,3016.987346,3016.987346,9060013,2052.409851848,496.683754819,5932.836756757,4746.269405405,24.301420,2014-02-22T00:00:00.0000000Z,2022-05-14T00:00:00.0000000Z,R,"[
  ""Conspiracy"",
  ""ReligiousConservative""
]",Conspiracy,YouTube,https://yt3.ggpht.com/ytc/AKedOLSQB94p_EL6A2uLoQcAg7poT7UGSGM_PNEvZDl7=s88-c-k-c0x00ffffff-no-rj
UClCJ4KEsWkhzvvxftRf0FYw,Paul Weston,2190816,GB,1,54900,908.040180,908.040180,2214710,6174.401119168,241.267381272,1227.086486486,1227.086486486,8.333333,2015-08-02T00:00:00.0000000Z,2022-04-06T00:00:00.0000000Z,R,"[
  ""PartisanRight""
]",Partisan Right,YouTube,https://yt3.ggpht.com/ytc/AKedOLRePPmWopHRIB9yWfhm3vNTzDszzBh0ZhQp0KLD_A=s88-c-k-c0x00ffffff-no-rj
UCnCUOl0k7asaZyNtl68EasA,The Vigilant One,3032286,,1,228000,2092.605748,2092.605748,3858765,529.671064735,15.391203096,430.578378378,430.578378378,21.101449,2016-10-27T00:00:00.0000000Z,2021-11-14T00:00:00.0000000Z,R,"[
  ""Conspiracy""
]",Conspiracy,YouTube,https://yt3.ggpht.com/ytc/AKedOLQIo3-miZlGB-alalWV4yG9t9my5UGmWHGBoDJ70A=s88-c-k-c0x00ffffff-no-rj
UC5tzTmPEue1OMqkT9CIAP0g,The Village Church - Flower Mound,14097483,US,0.8,110000,3138.733155,3138.733155,14114883,8653.486872231,8323.895824681,5619.155675676,4495.324540541,25.997727,2010-01-15T00:00:00.0000000Z,2022-05-09T00:00:00.0000000Z,R,"[
  ""AntiSJW"",
  ""PartisanRight"",
  ""ReligiousConservative""
]",Anti-SJW,YouTube,https://yt3.ggpht.com/CZ4U0ze4cR_AK_3ILWltTA2FyRiGPGfE1squyH6T1ex-NqgB2ig-pPrLyLU0QzBaSCL6Rf9gzhY=s88-c-k-c0x00ffffff-no-rj
UCT5KWZpslhrYKBhdCUUzr1Q,The Pholosopher,1140805,US,1,29300,529.446966,529.446966,1143076,1085.470181503,182.767908148,696.869189189,696.869189189,35.671875,2016-06-14T00:00:00.0000000Z,2022-05-13T00:00:00.0000000Z,R,"[
  ""Libertarian""
]",Libertarian,YouTube,https://yt3.ggpht.com/ytc/AKedOLSo653yz5-xHbrzf97TtsdjDyOA79oL8fLJySfcJw=s88-c-k-c0x00ffffff-no-rj
UC7eWRnOTyqua812sDXGqiqw,Dame Pesos,17106593,US,1,66800,9134.579557,9134.579557,17337432,34138.366742231,5463.182938168,7825.708108108,7825.708108108,13.757895,2015-08-23T15:19:31.0000000Z,2020-11-02T00:00:00.0000000Z,R,"[
  ""AntiSJW"",
  ""PartisanRight""
]",Anti-SJW,YouTube,https://yt3.ggpht.com/ytc/AKedOLSQxPbewknaiZUuycZwwJQeSPOUOlcamxeGEuexyg=s88-c-k-c0x00ffffff-no-rj
UCfpGXdit6pfo1y0eebM6CAQ,Stace Zimmerman,9448,US,0.9,22800,9.111421,9.111421,9813,17.949989053,4.741692529,10.025945946,9.023351351,5.695652,2019-05-14T00:00:00.0000000Z,2022-04-25T00:00:00.0000000Z,R,"[
  ""Conspiracy"",
  ""PartisanRight""
]",Conspiracy,YouTube,https://yt3.ggpht.com/ytc/AKedOLQpLb211D7ULKDY80ISqC7bcMLa9KIO46v-VCj9=s88-c-k-c0x00ffffff-no-rj
UC3q-ByZ2eoOikcEiajMYXXA,Israeli News Live,81202058,US,1,391000,23715.502049,23715.502049,92585320,66594.653873438,5828.270894737,31784.591351351,31784.591351351,18.801031,2011-08-30T00:00:00.0000000Z,2022-05-08T00:00:00.0000000Z,R,"[
  ""Conspiracy"",
  ""PartisanRight""
]",Conspiracy,YouTube,https://yt3.ggpht.com/ytc/AKedOLRm2O1GWJ4lKrkZTqNfmwvmbXjk7V8IJK8TyTwUYQ=s88-c-k-c0x00ffffff-no-rj
UC41M8ZcIBLvEH_O3O6qMUAg,The Superior Word,1555448,US,1,25200,1065.725903,1065.725903,4101979,1942.210625351,953.154615261,1180.616216216,1180.616216216,50.825736,2011-10-28T00:00:00.0000000Z,2022-05-12T00:00:00.0000000Z,R,"[
  ""Conspiracy"",
  ""ReligiousConservative""
]",Conspiracy,YouTube,https://yt3.ggpht.com/ytc/AKedOLQxxRfAAELMM7tmyv2c6-zKIFlxNkEn_gSvnsmtog=s88-c-k-c0x00ffffff-no-rj
UCGkNNoNqp56kIkDlgB-bL_w,Louis Ray,15535053,GB,0.8,18400,4983.063803,4983.063803,15542176,5.926380394,14.969943485,2503.753513514,2003.002810811,5.966667,2010-11-03T00:00:00.0000000Z,2019-05-19T00:00:00.0000000Z,C,[],Unclassified,YouTube,https://yt3.ggpht.com/ytc/AKedOLQ6O1t2tsZ6xsABTTCwin5cnVDicMT7ACc_9oTGPg=s88-c-k-c0x00ffffff-no-rj
UCSPdUOehW2dHVaY33aTfGTA,Micah Curtis,4533732,US,0.8,18100,1013.640240,1013.640240,4564422,423.913068879,406.614300866,467.638918919,374.111135135,26.579934,2010-01-12T00:00:00.0000000Z,2022-05-12T00:00:00.0000000Z,R,"[
  ""AntiSJW""
]",Anti-SJW,YouTube,https://yt3.ggpht.com/ytc/AKedOLTnOsMrL2Kda1ep91fZnr9nDqb9Y2pI4Kmi462JLQ=s88-c-k-c0x00ffffff-no-rj
