url	Claim	Trust
https://www.politifact.com/factchecks/2023/apr/24/facebook-posts/no-democrat-rep-adam-schiff-isnt-being-impeached/	Adam Schiff will be impeached.”	pants-fire
https://www.politifact.com/factchecks/2023/apr/21/tiktok-posts/nancy-pelosi-didnt-order-anyone-to-be-shot-jan-6-2/	TikTok posts-Video shows Nancy Pelosi saying, “I’ve given a shoot-to-kill order for any breach of the speaker’s lobby,” on Jan. 6, 2021.	pants-fire
https://www.politifact.com/factchecks/2023/apr/20/instagram-posts/huggies-diaper-designs-dont-include-coded-referenc/	Symbols on Huggies diapers are coded references to pedophilia.	pants-fire
https://www.politifact.com/factchecks/2023/apr/17/facebook-posts/dont-fault-these-vaults-mass-extinction-idea-isnt/	"They have been preparing for mass extinction with these death caskets"" in Madison, Ga."	pants-fire
https://www.politifact.com/factchecks/2023/apr/17/instagram-posts/yall-be-running-with-fake-news-lizzo-did-not-kill/	“34 dead after Lizzo attempted to crowd surf.”	pants-fire
https://www.politifact.com/factchecks/2023/apr/17/facebook-posts/expecting-to-hear-aoc-and-hunter-biden-on-the-phon/	A video shows Sen. John Kennedy, R-La., playing a phone conversation between Rep. Alexandria Ocasio-Cortez, D-N.Y., and Hunter Biden.	pants-fire
https://www.politifact.com/factchecks/2023/apr/14/instagram-posts/us-government-institutions-havent-shuttered-despit/	“Congress, White House, IRS, Feds, Federal Reserve are shut down.”	pants-fire
https://www.politifact.com/factchecks/2023/apr/14/facebook-posts/online-users-are-misinformed-manhattan-da-alvin-br/	Manhattan District Attorney Alvin Bragg “has been arrested.”	pants-fire
https://www.politifact.com/factchecks/2023/apr/14/viral-image/jfk-jr-who-died-more-than-two-decades-ago-isnt-in/	Viral image-Video proves John F. Kennedy Jr. is alive.	pants-fire
https://www.politifact.com/factchecks/2023/apr/14/facebook-posts/this-isnt-a-video-of-donald-trump-and-jfk-jr-in-a/	Video shows John F. Kennedy Jr. in a “real presidential convoy.”	pants-fire
https://www.politifact.com/factchecks/2023/apr/14/viral-image/tiffany-dover-alive/	Viral image-The person purporting to be Tiffany Dover is an impostor.	pants-fire
https://www.politifact.com/factchecks/2023/apr/13/facebook-posts/hiv-the-virus-that-can-cause-aids-is-contagious-a/	HIV is not contagious.	pants-fire
https://www.politifact.com/factchecks/2023/apr/13/facebook-posts/joe-biden-no-dijo-que-nuestra-economia-esta-quebra/	El presidente Joe Biden dijo, “estamos quebrados, completamente quebrados. Agarren su dinero del banco, sáquenlo, sáquenlo ya”.	pants-fire
https://www.politifact.com/factchecks/2023/apr/12/facebook-posts/facebook-post-pushes-claim-about-a-slap-that-just/	Video shows U.S. Rep. Jim Jordan slapping special counsel Robert Mueller.	pants-fire
https://www.politifact.com/factchecks/2023/apr/12/facebook-posts/no-evidence-support-claims-fema-camps-crimes-again/	“FEMA camps are open for the upcoming arrests for crimes against humanity.”	pants-fire
https://www.politifact.com/factchecks/2023/apr/10/instagram-posts/video-elon-musk-talking-about-new-way-unlock-tesla/	Elon Musk said a new Tesla feature can scan testicles and use that information “to biometrically unlock and start the car.”	pants-fire
https://www.politifact.com/factchecks/2023/apr/10/facebook-posts/hillary-clinton-wasnt-indicted-despite-nonsense-on/	“Hillary Clinton indicted.”	pants-fire
